# Configuration: 2025 Pack (Pack 110S4P)
# Output Level: Pack (scaled by series/parallel)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],OCV [V],Temperature [°C],Heat Generation [W],Cooling Power [W],Resistive Heat [W],Reversible Heat [W],Hysteresis Heat [W]
0,460.4418231678471,100,-444.6,-0.9655943001466395,0,460.62829955135174,25,-3.106253232034469,0,0.18006053302409616,-4.41924288189219,1.1329291168336244
0.1,460.3139987830743,99.99976716632577,-733.3,-1.5930430139830962,-0.00004191006136133879,460.6272815015095,24.99997957685433,-4.922545520770285,0,0.4990728460049197,-7.290946336461183,1.8693279696859786
0.2,460.2135754688677,99.99951387437562,-955.4999999999999,-2.076209940192512,-0.00008750261238787971,460.62617400310916,24.99995756564779,-6.209115630654878,0,0.8566411781009741,-9.502353229243276,2.4365964204874238
0.30000000000000004,459.9968829637664,99.99910399678463,-1443.9000000000003,-3.13893431341737,-0.0001612805787660765,460.6243818956214,24.999924346621334,-8.712184552204517,0,1.9696779288325454,-14.366395139286578,3.684532658249515
0.4,459.89812530461967,99.99856928842632,-1643.5,-3.573617524340648,-0.00025752808326040544,460.62204403990035,24.99988345483778,-9.573263108355148,0,2.587008678597468,-16.356148921043793,4.195877134091177
0.5,459.84555923266976,99.99801034243171,-1732.2,-3.766916881594919,-0.0003581383622923706,460.6196002244743,24.99984137812,-9.901369658792495,0,2.9157480790749832,-17.24117135569053,4.424053617823049
0.6000000000000001,459.8017530078613,99.99740861318557,-1797.8,-3.9099459457025225,-0.0004664496265978091,460.6169693745695,24.999797218847544,-10.115311270373526,0,3.18745192788119,-17.89615869553815,4.593395497283436
0.7000000000000001,459.72982397480155,99.996797944942,-1930.3000000000004,-4.198770450241233,-0.0005763699104388564,460.61429944925186,24.999752840489105,-10.570608788899532,0,3.7137094860849458,-19.218507757407718,4.934189482423239
0.8,459.5900235453059,99.99609955647627,-2218.7,-4.827563450757287,-0.0007020798342713963,460.6112460483033,24.9997045624871,-11.492013386543961,0,4.930016430561149,-22.097096041287177,5.675066224182065
0.9,459.37356473381493,99.9952931735331,-2682.3,-5.839038651591249,-0.0008472287640408638,460.607720558458,24.99965232532937,-12.654470334138985,0,7.20628356217749,-26.72758664158522,6.866832745268744
1,459.0677371127913,99.99428058549059,-3344.2,-7.284763727968846,-0.0010294946116955472,460.60329370736093,24.999594750535618,-13.588857662924338,0,11.186166982364053,-33.34632056781541,8.571295922527018
1.1,458.8498921508851,99.99306342495407,-3784.1999999999994,-8.247141526526999,-0.0012485835082662877,460.59797269703824,24.999535103968622,-13.627021702470783,0,14.416667663893383,-37.75311619851652,9.709426832152355
