# Configuration: 2025 Pack (Pack 110S4P)
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],OCV [V],Temperature [°C],Heat Generation [W],Cooling Power [W],Resistive Heat [W],Reversible Heat [W],Hysteresis Heat [W]
0,4.185834756071337,100,-1.0104545454545455,-0.24139857503665987,0,4.18752999592138,25,-0.0070596664364419755,0,0.0004092284841456731,-0.01004373382248225,0.002574838901894601
0.1,4.184672716209766,99.99976716632577,-1.666590909090909,-0.39826075349577406,-0.000010477515340334698,4.187520740922814,24.99997957685433,-0.011187603456296102,0,0.0011342564681929993,-0.016570332582866325,0.004248472658377224
0.2,4.183759776989707,99.99951387437562,-2.171590909090909,-0.519052485048128,-0.000021875653096969927,4.187510672755538,24.99995756564779,-0.014111626433306542,0,0.0019469117684113048,-0.021596257339189264,0.005537719137471418
0.30000000000000004,4.181789845125149,99.99910399678463,-3.2815909090909097,-0.7847335783543425,-0.00004032014469151912,4.1874943808692855,24.999924346621334,-0.019800419436828448,0,0.004476540747346694,-0.03265089804383313,0.008373937859657989
0.4,4.180892048223815,99.99856928842632,-3.735227272727273,-0.893404381085162,-0.00006438202081510136,4.1874731276354575,24.99988345483778,-0.021757416155352607,0,0.005879565178630609,-0.03717306572964498,0.009536084395661766
0.5,4.180414174842452,99.99801034243171,-3.936818181818182,-0.9417292203987297,-0.00008953459057309265,4.1874509111315845,24.99984137812,-0.022503112860892033,0,0.006626700179715871,-0.03918448035384211,0.010054667313234204
0.6000000000000001,4.180015936435103,99.99740861318557,-4.085909090909091,-0.9774864864256306,-0.00011661240664945227,4.187426994314269,24.999797218847544,-0.02298934379630347,0,0.007244208927002704,-0.04067308794440489,0.010439535221098717
0.7000000000000001,4.17936203613456,99.996797944942,-4.387045454545455,-1.0496926125603083,-0.0001440924776097141,4.187402722265926,24.999752840489105,-0.024024110883862575,0,0.00844024883201124,-0.043678426721381176,0.011214067005507361
0.8,4.178091123139144,99.99609955647627,-5.0424999999999995,-1.2068908626893218,-0.00017551995856784908,4.1873749640754845,24.9997045624871,-0.026118212242145368,0,0.011204582796729883,-0.05022067282110722,0.012897877782231967
0.9,4.176123315761954,99.9952931735331,-6.096136363636364,-1.4597596628978122,-0.00021180719101021594,4.1873429141678,24.99965232532937,-0.028760159850315874,0,0.016377917186767024,-0.06074451509451186,0.015606438057428965
1,4.173343064661739,99.99428058549059,-7.600454545454545,-1.8211909319922115,-0.0002573736529238868,4.187302670066917,24.999594750535618,-0.03088376741573713,0,0.02542310677810012,-0.07578709219958048,0.019480218005743222
1.1,4.171362655917138,99.99306342495407,-8.600454545454545,-2.0617853816317497,-0.00031214587706657193,4.1872542972458024,24.999535103968622,-0.030970503869251778,0,0.03276515378157587,-0.08580253681481027,0.022066879163982624
1.2000000000000002,4.169781616497016,99.99174443120869,-9.35068181818182,-2.242487179949059,-0.0003715005956091977,4.187201878380583,24.999476232245645,-0.030245384009174786,0,0.03906471394525584,-0.09332649815248409,0.02401640019805347
1.3,4.16740777720131,99.9902782037354,-10.549545454545456,-2.531440650530765,-0.0004374808319067558,4.187143609871498,24.999419747894578,-0.02826639590539369,0,0.0499600890933864,-0.10535693760854338,0.027130452609763284
1.4000000000000001,4.164482544758387,99.98860806368533,-12.044772727272731,-2.8922615469796713,-0.0005126371341598879,4.187077240350362,24.999369114725575,-0.024007953480357197,0,0.06534976922638011,-0.12038051413405762,0.03102279142732032
1.5,4.161934198313512,99.98671686374232,-13.285909090909092,-3.1922439082032517,-0.0005977411315956083,4.187002089316462,24.99932858278984,-0.018579490459615183,0,0.08002282234567178,-0.13287431472985453,0.034272001924567565
1.6,4.159348240087341,99.98466693590305,-14.527954545454547,-3.4928440002776684,-0.0006899878843630303,4.186920633515513,24.99929862406923,-0.011553373025248254,0,0.09630606895888588,-0.14539609086685326,0.03753664888271911
1.7000000000000002,4.155700159893258,99.98238249984982,-16.36204545454546,-3.937253609501444,-0.000792787506758097,4.186829863533716,24.99928730490419,0.0010175703573226946,0,0.12256553802110297,-0.16390748969358473,0.04235952202980446
1.8,4.1498796386802255,99.97976007756834,-19.42113636363636,-4.67992762551851,-0.0009107965094243831,4.186725670878326,24.99930994538653,0.028009002962656265,0,0.1724367639746364,-0.19484137162282633,0.0504136106108462
1.9000000000000001,4.144281352395954,99.97661221488353,-22.267727272727274,-5.373121508715504,-0.0010524503302410948,4.186600614221049,24.999400963835075,0.06163122314355379,0,0.22738653594538052,-0.22372409720831726,0.05796878440649055
2,4.14099312010409,99.97317868258277,-23.722272727272724,-5.7286433566150015,-0.001206959283775122,4.186464216899394,24.99954134180122,0.08384051790957214,0,0.2604876965744174,-0.2385536150488749,0.06190643638402963
2.1,4.13757127245642,99.9695377267842,-25.229090909090907,-6.097560440116053,-0.0013708022947111487,4.186319586796939,24.999724670890128,0.10930796168420748,0,0.29724579304508914,-0.2539460113400275,0.0660081799791458
