rpm,command_nm,delivered_nm,n_samples
900.0,70.0,70.0,4
900.0,75.0,74.8986,2
900.0,80.0,79.02787142857143,0
900.0,85.0,83.15714285714286,7
1000.0,0.0,0.0,1
1000.0,5.0,5.0,0
1000.0,10.0,10.0,1
1000.0,15.0,15.0,1
1000.0,20.0,20.0,9
1000.0,25.0,25.0,5
1000.0,30.0,30.0,3
1000.0,35.0,35.0,2
1000.0,40.0,40.0,0
1000.0,45.0,45.0,1
1000.0,50.0,50.0,1
1000.0,55.0,55.0,6
1000.0,60.0,60.0,1
1000.0,65.0,65.0,5
1000.0,70.0,70.0,5
1000.0,75.0,75.0,0
1000.0,80.0,80.0,1
1000.0,85.0,84.57723333333334,9
1100.0,0.0,0.0,0
1100.0,5.0,5.0,0
1100.0,10.0,10.0,0
1100.0,15.0,15.0,0
1100.0,20.0,20.0,0
1100.0,25.0,25.0,0
1100.0,30.0,30.0,9
1100.0,35.0,35.0,0
1100.0,40.0,40.0,0
1100.0,45.0,45.0,0
1100.0,50.0,50.0,0
1100.0,55.0,55.0,1
1100.0,60.0,60.0,2
1100.0,65.0,65.0,5
1100.0,70.0,70.0,4
1100.0,75.0,74.8894309090909,4
1100.0,80.0,79.31610636363635,0
1100.0,85.0,83.74278181818181,11
1200.0,0.0,0.0,0
1200.0,5.0,5.0,1
1200.0,10.0,10.0,0
1200.0,15.0,15.0,0
1200.0,20.0,20.0,1
1200.0,25.0,25.0,0
1200.0,30.0,30.0,5
1200.0,35.0,35.0,6
1200.0,40.0,40.0,4
1200.0,45.0,45.0,0
1200.0,50.0,50.0,0
1200.0,55.0,55.0,0
1200.0,60.0,60.0,3
1200.0,65.0,65.0,2
1200.0,70.0,70.0,1
1200.0,75.0,75.0,4
1200.0,80.0,80.0,4
1200.0,85.0,85.0,12
1300.0,0.0,0.0,9
1300.0,5.0,4.972190909090909,4
1300.0,10.0,9.944381818181817,11
1300.0,15.0,15.0,40
1300.0,20.0,20.0,2
1300.0,25.0,25.0,1
1300.0,30.0,30.0,2
1300.0,35.0,35.0,26
1300.0,40.0,40.0,3
1300.0,45.0,45.0,1
1300.0,50.0,50.0,2
1300.0,55.0,55.0,4
1300.0,60.0,60.0,2
1300.0,65.0,65.0,1
1300.0,70.0,70.0,0
1300.0,75.0,75.0,0
1300.0,80.0,80.0,5
1300.0,85.0,84.4748153846154,13
1400.0,0.0,0.0,18
1400.0,5.0,5.0,7
1400.0,10.0,10.0,3
1400.0,15.0,15.0,16
1400.0,20.0,20.0,18
1400.0,25.0,25.0,1
1400.0,30.0,30.0,17
1400.0,35.0,35.0,5
1400.0,40.0,40.0,3
1400.0,45.0,45.0,11
1400.0,50.0,50.0,10
1400.0,55.0,55.0,0
1400.0,60.0,60.0,0
1400.0,65.0,65.0,4
1400.0,70.0,70.0,0
1400.0,75.0,75.0,0
1400.0,80.0,80.0,2
1400.0,85.0,84.90506666666667,12
1500.0,0.0,0.0,1
1500.0,5.0,5.0,5
1500.0,10.0,10.0,1
1500.0,15.0,15.0,4
1500.0,20.0,20.0,6
1500.0,25.0,25.0,8
1500.0,30.0,30.0,4
1500.0,35.0,35.0,3
1500.0,40.0,40.0,10
1500.0,45.0,45.0,10
1500.0,50.0,50.0,4
1500.0,55.0,55.0,0
1500.0,60.0,60.0,1
1500.0,65.0,65.0,5
1500.0,70.0,70.0,0
1500.0,75.0,75.0,0
1500.0,80.0,80.0,0
1500.0,85.0,85.0,16
1600.0,0.0,0.0,8
1600.0,5.0,5.0,9
1600.0,10.0,10.0,13
1600.0,15.0,14.079015384615381,13
1600.0,20.0,20.0,15
1600.0,25.0,25.0,36
1600.0,30.0,29.857705000000003,20
1600.0,35.0,35.0,20
1600.0,40.0,38.978637500000005,24
1600.0,45.0,45.0,35
1600.0,50.0,49.51527142857143,7
1600.0,55.0,54.43056071428572,0
1600.0,60.0,59.345850000000006,6
1600.0,65.0,64.378758,0
1600.0,70.0,69.411666,2
1600.0,75.0,74.444574,3
1600.0,80.0,79.47748200000001,4
1600.0,85.0,84.51039,20
1700.0,0.0,0.0,22
1700.0,5.0,5.0,21
1700.0,10.0,10.0,20
1700.0,15.0,14.84511379310345,29
1700.0,20.0,20.0,39
1700.0,25.0,25.0,56
1700.0,30.0,30.0,31
1700.0,35.0,34.962760975609754,41
1700.0,40.0,40.0,56
1700.0,45.0,43.0131,30
1700.0,50.0,50.0,73
1700.0,55.0,55.0,33
1700.0,60.0,60.0,21
1700.0,65.0,64.074275,8
1700.0,70.0,69.0547258152174,1
1700.0,75.0,74.03517663043479,2
1700.0,80.0,79.01562744565217,3
1700.0,85.0,83.99607826086957,23
1800.0,0.0,0.0,37
1800.0,5.0,5.0,38
1800.0,10.0,10.0,39
1800.0,15.0,15.0,32
1800.0,20.0,20.0,44
1800.0,25.0,25.0,66
1800.0,30.0,30.0,94
1800.0,35.0,33.58135692307692,65
1800.0,40.0,39.041164473684205,76
1800.0,45.0,44.128777647058826,85
1800.0,50.0,49.358292771084315,83
1800.0,55.0,54.62902553191488,47
1800.0,60.0,59.943107499999996,40
1800.0,65.0,63.558705714285715,35
1800.0,70.0,67.63004285714285,14
1800.0,75.0,73.76667499999999,8
1800.0,80.0,79.15237980769231,4
1800.0,85.0,84.53808461538462,26
1900.0,0.0,0.0,68
1900.0,5.0,5.0,71
1900.0,10.0,10.0,81
1900.0,15.0,14.945748913043468,92
1900.0,20.0,20.0,109
1900.0,25.0,24.96943369565219,92
1900.0,30.0,30.0,68
1900.0,35.0,34.11179512195122,82
1900.0,40.0,40.0,72
1900.0,45.0,45.0,101
1900.0,50.0,49.873216455696216,79
1900.0,55.0,55.0,85
1900.0,60.0,59.17697671232876,73
1900.0,65.0,65.0,48
1900.0,70.0,68.84376842105263,38
1900.0,75.0,73.78162368421053,38
1900.0,80.0,78.80879310344827,29
1900.0,85.0,83.60885901639345,61
2000.0,0.0,0.0,112
2000.0,5.0,5.0,79
2000.0,10.0,10.0,101
2000.0,15.0,15.0,129
2000.0,20.0,20.0,135
2000.0,25.0,25.0,207
2000.0,30.0,30.0,167
2000.0,35.0,35.0,165
2000.0,40.0,40.0,132
2000.0,45.0,45.0,112
2000.0,50.0,49.274829032258076,93
2000.0,55.0,55.0,81
2000.0,60.0,58.54512698412698,63
2000.0,65.0,64.9307693548387,62
2000.0,70.0,70.0,70
2000.0,75.0,74.25918444444446,45
2000.0,80.0,80.0,49
2000.0,85.0,84.10917452830189,106
2100.0,0.0,0.0,97
2100.0,5.0,5.0,88
2100.0,10.0,10.0,101
2100.0,15.0,15.0,165
2100.0,20.0,20.0,124
2100.0,25.0,25.0,271
2100.0,30.0,30.0,221
2100.0,35.0,35.0,231
2100.0,40.0,40.0,242
2100.0,45.0,45.0,216
2100.0,50.0,50.0,182
2100.0,55.0,55.0,133
2100.0,60.0,60.0,131
2100.0,65.0,65.0,140
2100.0,70.0,70.0,84
2100.0,75.0,75.0,83
2100.0,80.0,79.26482686567161,67
2100.0,85.0,84.42555380434781,184
2200.0,0.0,0.0,66
2200.0,5.0,5.0,84
2200.0,10.0,10.0,90
2200.0,15.0,15.0,81
2200.0,20.0,20.0,121
2200.0,25.0,25.0,80
2200.0,30.0,30.0,99
2200.0,35.0,35.0,112
2200.0,40.0,40.0,193
2200.0,45.0,45.0,161
2200.0,50.0,50.0,167
2200.0,55.0,55.0,120
2200.0,60.0,60.0,128
2200.0,65.0,65.0,98
2200.0,70.0,70.0,58
2200.0,75.0,75.0,75
2200.0,80.0,80.0,53
2200.0,85.0,84.54458550724638,138
2300.0,0.0,0.0,82
2300.0,5.0,5.0,62
2300.0,10.0,10.0,61
2300.0,15.0,15.0,41
2300.0,20.0,20.0,47
2300.0,25.0,25.0,42
2300.0,30.0,30.0,48
2300.0,35.0,35.0,35
2300.0,40.0,40.0,78
2300.0,45.0,45.0,148
2300.0,50.0,50.0,151
2300.0,55.0,55.0,124
2300.0,60.0,60.0,101
2300.0,65.0,65.0,72
2300.0,70.0,70.0,48
2300.0,75.0,75.0,40
2300.0,80.0,80.0,35
2300.0,85.0,84.66178214285716,112
2400.0,0.0,0.0,34
2400.0,5.0,5.0,45
2400.0,10.0,10.0,27
2400.0,15.0,15.0,29
2400.0,20.0,20.0,21
2400.0,25.0,25.0,40
2400.0,30.0,30.0,45
2400.0,35.0,35.0,37
2400.0,40.0,40.0,86
2400.0,45.0,45.0,125
2400.0,50.0,50.0,120
2400.0,55.0,55.0,111
2400.0,60.0,60.0,102
2400.0,65.0,65.0,76
2400.0,70.0,70.0,52
2400.0,75.0,75.0,50
2400.0,80.0,77.7171074074074,27
2400.0,85.0,83.73314257425741,101
2500.0,0.0,0.0,49
2500.0,5.0,5.0,46
2500.0,10.0,10.0,32
2500.0,15.0,15.0,34
2500.0,20.0,20.0,36
2500.0,25.0,25.0,49
2500.0,30.0,30.0,64
2500.0,35.0,35.0,59
2500.0,40.0,40.0,83
2500.0,45.0,45.0,142
2500.0,50.0,50.0,129
2500.0,55.0,55.0,95
2500.0,60.0,60.0,91
2500.0,65.0,65.0,77
2500.0,70.0,70.0,65
2500.0,75.0,75.0,30
2500.0,80.0,78.41809354838709,31
2500.0,85.0,84.28674500000001,100
2600.0,0.0,0.0,40
2600.0,5.0,5.0,55
2600.0,10.0,10.0,77
2600.0,15.0,15.0,115
2600.0,20.0,20.0,189
2600.0,25.0,25.0,158
2600.0,30.0,30.0,120
2600.0,35.0,35.0,110
2600.0,40.0,40.0,125
2600.0,45.0,45.0,186
2600.0,50.0,50.0,114
2600.0,55.0,55.0,88
