# Configuration: 2026 Pack (Pack 100S4P)
# Output Level: Cell (raw cell values)
Time [s],Voltage [V],SOC [%],Power [W],Current [A],Charge [Ah],OCV [V],Temperature [°C],Heat Generation [W],Cooling Power [W],Resistive Heat [W],Reversible Heat [W],Hysteresis Heat [W]
0,4.18435815224548,100,-1.1115000000000002,-0.2656321374888831,0,4.18679131829884,25,-0.011449994703704478,0,0.000646327099619487,-0.01667403569750828,0.004577713894184316
0.1,4.182723028922735,99.99976938921276,-1.8332499999999998,-0.43829103369346345,-0.000011530539362203385,4.186782221150303,24.9999722194092,-0.01817878626296629,0.000007376944729522414,0.001779107557381596,-0.02751159745193106,0.0075537036315831765
0.2,4.181448825771188,99.99951851082632,-2.38875,-0.5712732833838857,-0.000024074458683798206,4.186772324526518,24.999942260867865,-0.02297082063059807,0.000015332229238067634,0.003041172613047463,-0.03585829560506556,0.009846302361420024
0.30000000000000004,4.178678913460747,99.99911246300144,-3.6097500000000005,-0.8638495741732968,-0.000044376849928084994,4.18675630739129,24.999896906920426,-0.03235303963207184,0.000027375657901886508,0.006977653307329895,-0.05422152517356442,0.014890832234162689
0.4,4.1774674609815365,99.99858267638407,-4.10875,-0.9835504497345885,-0.00007086618079632512,4.186735409789694,24.999840891583602,-0.035660251791844386,0.000042250145156493274,0.009115495218380683,-0.061732580851689964,0.016956833841464895
0.5,4.176863831759449,99.99802886264348,-4.3305,-1.0367826614486098,-0.00009855686782633821,4.186713564546406,24.999783133157944,-0.03698171955871497,0.00005758749765689504,0.010212032173419256,-0.06507122583850398,0.017877474106369754
0.6000000000000001,4.176381661034993,99.99743263206618,-4.4944999999999995,-1.076170801613512,-0.00012836839669072564,4.186690046396461,24.99972235073985,-0.03788709303468099,0.00007372785054025154,0.011093583337792307,-0.06754056238031844,0.018559886007845146
0.7000000000000001,4.175534159794836,99.99682754093297,-4.825750000000001,-1.1557203977555566,-0.00015862295335178356,4.186666178788224,24.999661131778048,-0.03972924338781975,0.00008998412460233302,0.012865501418860923,-0.07253008508180427,0.01993534027512359
0.8,4.17381284845002,99.99613546259786,-5.546749999999999,-1.3289407554677088,-0.0001932268701071438,4.186638880560747,24.999594231881062,-0.043424054356388866,0.00010774893191168795,0.017045036802882593,-0.08339699018782576,0.0229278990285543
0.9,4.171105196863525,99.99533626770489,-6.70575,-1.6076674366885804,-0.00023318661475590918,4.186607358052109,24.999521407394834,-0.04821730695258551,0.00012708697312750498,0.02492231974118394,-0.10088280033866961,0.027743173644900167
1,4.167257988484938,99.99433246578775,-8.3605,-2.0062352806334345,-0.0002833767106125151,4.186567767212112,24.99944022541092,-0.052513403833497396,0.0001486442903467181,0.03873995934368165,-0.12588466927619096,0.03463130609901192
1.1,4.1645907030991705,99.99312558781894,-9.4605,-2.271651807933914,-0.0003437206090528555,4.1865201691768155,24.999354805053503,-0.0534840999343415,0.00017132707848460546,0.04981611126230772,-0.1425268772254923,0.039226666028843074
